rank,title,link,source,time
11,52歳になった“歌のお姉さん”に衝撃「若すぎないか!?」　朝からネット騒然「時が止まってない？」,https://news.yahoo.co.jp/articles/3b767f1e08a2ac7ded99ca70290c230e2960de23,ENCOUNT,10/1(火) 8:40
12,古橋亨梧をドルトムント指揮官が激賞「伝統的なストライカーではない」 CL対戦を前に,https://news.yahoo.co.jp/articles/778309dd92d7ae259ae0bb38cadd158d91114062,東スポWEB,10/1(火) 10:06
13,「可愛すぎる」人気アイドルが衝撃始球式　まさかの“叩きつけ投球”に神宮騒然,https://news.yahoo.co.jp/articles/430bb032c025af89662a9fbb542f94ad7ee66ffa,Full-Count,10/1(火) 7:20
14,ジャッジが2年ぶり2度目の打撃2冠獲得　MVP対抗馬ウィットJr.は首位打者＆最多211安打,https://news.yahoo.co.jp/articles/972220b6f5afbc9826ab4d2052650ac7d917b492,ベースボールキング,10/1(火) 10:37
15,三谷幸喜氏、商店街で大物女優とばったり　女優興奮「『キャー』と叫んで…」,https://news.yahoo.co.jp/articles/5c7b2b5ab62634ffe20f6b874d39495404f5a76f,日刊スポーツ,10/1(火) 7:06
16,剛力彩芽の“バキバキ腹筋”を共演者が激写　10kg増で挑んだ『極悪女王』のオフショット,https://news.yahoo.co.jp/articles/1ee8e2c1993a74b72e270b4b1c2abf18ff7f1732,ENCOUNT,10/1(火) 9:46
17,「結局こういう弁当が一番旨い」　夫が妻に作った弁当に「最強すぎる！」「絶対美味しいビジュアル」,https://news.yahoo.co.jp/articles/103cca06c4cf4d8ee1348fdb9440d5b836a450ce,ねとらぼ,10/1(火) 8:00
18,梅宮アンナ、まさかの緊急入院で「肺炎」の診断「抗がん剤がいったん延期になりました」【独白連載】,https://news.yahoo.co.jp/articles/eec333ee4588de4408b030ba60065d67ded5cd74,OTONA SALONE,10/1(火) 7:31
19,元プラマイ岩橋良昌、MC番組のオファー立ち消え　テレビ関係者に怒り,https://news.yahoo.co.jp/articles/1709e5d6d6ab5e98f1e791cf561f982f90514f55,日刊スポーツ,10/1(火) 9:32
20,ムカついた中日指揮官からの“圧力”　納得いかない起用法…ぶちまけた怒り「ボケー」,https://news.yahoo.co.jp/articles/5b0ccd4d6156fb13c16662738163756575f3d1f6,Full-Count,10/1(火) 6:50
21,【台風情報】ダブル台風の最新進路は？「台風18号」“非常に強い勢力”で3日以降に沖縄地方へ直撃か…2日ごろ“非常に強い風”のおそれ「台風17号」1日ごろ関東方面に接近の可能性【詳しい雨と風の最新シミュレーション】,https://news.yahoo.co.jp/articles/22d5976478a83e431b070eb33d6c39127ad08268,MBSニュース,9/30(月) 19:49
22,ピート・ローズ氏が83歳で死去　MLB歴代最多4256安打も野球賭博で永久追放…米報道,https://news.yahoo.co.jp/articles/557ae0251d8efe6288a7e1ec17d234e184750a08,Full-Count,10/1(火) 8:16
23,石破氏「おきて破り」の解散明言、政権安定化へ賭け…議席減なら責任論も,https://news.yahoo.co.jp/articles/d3d0f0f7ed94143ebdde5ad7790024fe29b634d1,読売新聞オンライン,10/1(火) 6:38
24,【台風情報】台風18号「大型で猛烈な」台風に　気象庁の予測詳しく　九州・沖縄に影響のおそれ【6日（日）までの雨・風シミュレーション】台風進路予想,https://news.yahoo.co.jp/articles/afc0bfddaf0f29030d3c1d0165b790085d608877,MBC南日本放送,10/1(火) 9:46
25,大谷翔平、2年連続HR王＆日本人初の打点王確定　両リーグ獲得は史上4人目,https://news.yahoo.co.jp/articles/de8afad23ab1401ffaef333b5fdfb997513a40ee,Full-Count,10/1(火) 8:04
26,“メンバー全員の契約違反”　異例の脱退騒動背景を公式が釈明「繋がり行為などではなく」　ライブ後の発表が物議,https://news.yahoo.co.jp/articles/461281091737f150e33289d6c6c6d48802ac54ce,ねとらぼ,9/30(月) 17:49
27,日テレ過去人気番組で「これ以上は本人の強い希望により放送できません」異例テロップ　ゲストも「これはダメ」大汗で抵抗ｗｗ,https://news.yahoo.co.jp/articles/dd19bfcf8496bc603d901514e923b2e9fa6b509a,デイリースポーツ,9/30(月) 21:19
28,「これは…なんだ！？」藤井聡太王座、大逆転の瞬間に解説者キョトン→大混乱「一緒のエアポケットに入ってしまった」視聴者も騒然,https://news.yahoo.co.jp/articles/73db701882c9f22a6f2e65f19413bf100db7342b,ABEMA TIMES,9/30(月) 22:16
29,窪塚洋介「次男がうちの事務所に本日から所属」３兄弟集結を報告,https://news.yahoo.co.jp/articles/3bd8743310b44f4d562070e331d721743bb0c77f,日刊スポーツ,10/1(火) 8:57
30,男女死亡…マンションで倒れていた　母と息子の可能性　扉は目張りされた状態、心中か　息子の友人が警察に連絡し発覚　玄関は無施錠,https://news.yahoo.co.jp/articles/108d05fef9ce2ea94d49296452be3c8edfc5ccf3,埼玉新聞,10/1(火) 8:02
31,石破内閣が短命なら高市氏はどう動くか 政治ジャーナリストが今後を予想「自民党は分断が進む」,https://news.yahoo.co.jp/articles/dd6916fc8be5ff9c47c0d83c7d67ec6bc32e251d,ABEMA TIMES,10/1(火) 6:51
32,かまいたち山内は「投資王」　手元にある現金の全財産告白「家の金を全部かき集めたら…」,https://news.yahoo.co.jp/articles/e3aaeeb9f694f29188da6ad9e6d45db47b2af6ea,スポニチアネックス,9/30(月) 22:28
33,フランス哲学者「24時間テレビ、本当の問題は日本の番組視聴者だ」やす子マラソンも佐村河内守も…日本人の「メンタリティ」に大きな理由あり,https://news.yahoo.co.jp/articles/523656240262cb0a6a4c08c5e8248169c0362c7b,みんかぶマガジン,10/1(火) 9:10
34,食べた後の小松菜、１ヵ月育ててみたら…驚きの成長に232万再生「えぇ～そうなの!?」「知りませんでした！」,https://news.yahoo.co.jp/articles/1e6c17ea0624911d22a532b3fec2880fb4879e7f,オリコン,10/1(火) 7:30
35,「ママ、大好き」…数時間後に校庭で倒れた娘、教師が知らなかった心停止のサイン　〝使われなかったAED〟を教訓に、小学生からできること　#ニュースその後,https://news.yahoo.co.jp/articles/39a22097da4247b65df74c0cf520f6aafeccf8d8,withnews,9/30(月) 18:10
36,大谷翔平、115年ぶり偉業達成　“54-59”だけじゃない…時代を超えた伝説的数字,https://news.yahoo.co.jp/articles/5c46227bfd0f90708b2cf736da7b1bb265845aa5,Full-Count,10/1(火) 9:39
37,田崎史郎氏　石破茂総裁の妻・佳子さんをべた褒め「きらびやかにしない。非常に質素で好感持てました」と印象明かす,https://news.yahoo.co.jp/articles/72494f6d5c2a51e0ff9fff33889ba111a4e793a1,デイリースポーツ,10/1(火) 9:55
38,44歳元プロ野球捕手の20歳娘が芸能事務所入り「感謝の気持ち大切に」５月に父相手の始球式,https://news.yahoo.co.jp/articles/411bdf751379d9561caabcd1c5d5d4211a2dd818,日刊スポーツ,10/1(火) 10:48
39,ジャッジよりも「オオタニを選ぶ」　米記者仰天…訴えた大谷翔平の“希少性”,https://news.yahoo.co.jp/articles/98c20d83236e9715a8b6c9d247d5b01492d2af4c,Full-Count,10/1(火) 10:12
40,グラドル大貫彩香と俳優・石見海人が結婚「1人でいるより2人でいる方が楽しい」　出会いは舞台での共演,https://news.yahoo.co.jp/articles/a10af90da91f3f9aebbc1485d2a1a179273f271b,スポニチアネックス,10/1(火) 10:27
